filename,extension,size_kb
1M.csv,csv,25902.1
Admission.csv,csv,12.6
Advertising.csv,csv,4.6
AirPassengers.csv,csv,2.3
Auto.csv,csv,18.2
BCF.csv,csv,6.1
BostonHousing.csv,csv,35.4
BreastCancer.csv,csv,33.9
CNAE9.csv,csv,1814.5
Cars93.csv,csv,14.2
Cars93_miss.csv,csv,13.9
Carseats.csv,csv,19.0
ChickWeight.csv,csv,6.9
ChurnData.csv,csv,35.3
Churn_Modelling.csv,csv,668.8
Churn_Modelling_m.csv,csv,668.4
City_Zhvi_AllHomes.csv,csv,16730.3
Class_Abalone.csv,csv,191.5
Class_BanknoteAuth.csv,csv,45.3
Class_Ionosphere.csv,csv,74.1
Class_Seeds.csv,csv,9.4
Class_Sonar.csv,csv,84.4
Class_Winequality.csv,csv,263.0
Clothing_Reviews_Small.csv,csv,8309.0
Clus_BuddyMove.csv,csv,7.4
Clus_OnlineShoppersIntention.csv,csv,1046.9
College.csv,csv,57.9
CommViolPredUnnormalizedData.txt,txt,1521.2
Cust_Segmentation.csv,csv,33.5
Ecommerce Purchases,none,2701.0
Energy Indicators.xls,xls,64.5
FuelConsumptionCo2.csv,csv,70.9
GermanCredit.csv,csv,246.0
Glass.csv,csv,10.3
GlaucomaM.csv,csv,73.4
HamiltonGDP.csv,csv,3.8
Hitters.csv,csv,22.3
HouseVotes84.csv,csv,28.2
Ionosphere.csv,csv,75.5
Iris_data_sample.xlsx,xlsx,14.3
IsraelPalestine.csv,csv,33.9
LetterRecognition.csv,csv,754.6
LifeCycleSavings,none,1.5
Life_Expectancy_Data.csv,csv,196.8
Mall_Customers_Int.csv,csv,3.1
MarketArrivals.csv,csv,668.7
Phishing Webpages Classification Dataset.csv,csv,1383.1
PimaIndiansDiabetes.csv,csv,75.5
PimaIndiansDiabetes.rds,rds,42.5
Prestige.csv,csv,3.3
Prestige_miss.csv,csv,3.2
Raotbl6.csv,csv,6.8
Reg_BikeShareDay.csv,csv,56.2
Reg_EnergyData.csv,csv,11698.6
Reg_Housing.txt,txt,48.5
Restaurant_Reviews.tsv,tsv,60.9
Sacramento.csv,csv,67.6
Salaries.csv,csv,16004.3
Servo.csv,csv,3.3
Smarket.csv,csv,70.0
Sonar.csv,csv,84.4
Soybean.csv,csv,104.6
ToothGrowth.csv,csv,0.8
USArrests.csv,csv,1.4
Udemy_Courses.csv,csv,480.5
