,Location,Area,Bed,Bath,Price
0,"Block H, Bashundhara R-A, Dhaka","1,600 sqft",3,3,20 Thousand
1,"Farmgate, Tejgaon, Dhaka",900 sqft,2,2,20 Thousand
2,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka","1,250 sqft",3,3,18 Thousand
3,"Gulshan 1, Gulshan, Dhaka","2,200 sqft",3,4,75 Thousand
4,"Baridhara, Dhaka","2,200 sqft",3,3,75 Thousand
5,"Bashundhara R-A, Dhaka","3,000 sqft",4,5,50 Thousand
6,"Baridhara, Dhaka","2,300 sqft",3,3,75 Thousand
7,"PC Culture Housing, Mohammadpur, Dhaka",950 sqft,2,2,14 Thousand
8,"Jigatola, Hazaribag, Dhaka","1,600 sqft",3,3,28 Thousand
9,"West Kazipara, Mirpur, Dhaka","1,150 sqft",3,3,19 Thousand
10,"Block D, Bashundhara R-A, Dhaka","1,300 sqft",3,3,40 Thousand
11,"Block J, Bashundhara R-A, Dhaka","1,250 sqft",3,3,19 Thousand
12,"Block D, Bashundhara R-A, Dhaka","1,300 sqft",3,3,60 Thousand
13,"Nikunja 2, Nikunja, Dhaka",750 sqft,2,2,16 Thousand
14,"Sector 6, Uttara, Dhaka","1,850 sqft",3,3,40 Thousand
15,"Block D, Bashundhara R-A, Dhaka","1,300 sqft",3,3,35 Thousand
16,"Khilgaon, Dhaka","1,200 sqft",3,3,18 Thousand
17,"Block K, Baridhara, Dhaka","3,000 sqft",4,4,1.6 Lakh
18,"Ibrahimpur, Dhaka","1,050 sqft",3,3,25 Thousand
19,"Ibrahimpur, Dhaka","1,050 sqft",3,3,25 Thousand
20,"Sector 5, Uttara, Dhaka","1,400 sqft",3,2,30 Thousand
21,"PC Culture Housing, Mohammadpur, Dhaka","1,150 sqft",3,3,19 Thousand
22,"Block D, Bashundhara R-A, Dhaka","2,100 sqft",3,4,40 Thousand
23,"Nurer Chala, Badda, Dhaka",800 sqft,2,2,18.63 Thousand
24,"Block F, Bashundhara R-A, Dhaka",900 sqft,2,2,19 Thousand
25,"Sector 4, Uttara, Dhaka","1,500 sqft",3,3,32 Thousand
26,"Block D, Bashundhara R-A, Dhaka","1,300 sqft",3,3,60 Thousand
27,"Block D, Bashundhara R-A, Dhaka","1,300 sqft",3,3,40 Thousand
28,"Block D, Bashundhara R-A, Dhaka","1,300 sqft",3,3,40 Thousand
29,"Rajabazar, Tejgaon, Dhaka",650 sqft,2,2,18 Thousand
30,"Baridhara, Dhaka","1,524 sqft",3,3,1 Lakh
31,"Khilgaon, Dhaka","1,100 sqft",3,2,19 Thousand
32,"Sector 9, Uttara, Dhaka","1,500 sqft",3,4,35 Thousand
33,"Gulshan 1, Gulshan, Dhaka","3,500 sqft",4,4,2 Lakh
34,"Sector 9, Uttara, Dhaka",850 sqft,2,2,25 Thousand
35,"Sector 14, Uttara, Dhaka","1,400 sqft",3,4,32 Thousand
36,"Block D, Section 12, Mirpur, Dhaka",650 sqft,2,2,10 Thousand
37,"Block G, Bashundhara R-A, Dhaka","1,750 sqft",3,4,30 Thousand
38,"Baitul Aman Housing Society, Adabor, Dhaka","1,200 sqft",3,2,20 Thousand
39,"Kajla, Jatra Bari, Dhaka",800 sqft,3,2,15 Thousand
40,"Sector 11, Uttara, Dhaka","1,617 sqft",3,4,30 Thousand
41,"Sector 7, Uttara, Dhaka","1,350 sqft",3,3,27 Thousand
42,"Gulshan 2, Gulshan, Dhaka","1,600 sqft",3,3,50 Thousand
43,"Sector 10, Uttara, Dhaka","1,900 sqft",3,4,50 Thousand
44,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",900 sqft,2,3,16 Thousand
45,"Block D, Bashundhara R-A, Dhaka","1,300 sqft",3,3,60 Thousand
46,"West Malibag, Malibagh, Dhaka",950 sqft,2,2,19 Thousand
47,"Banani, Dhaka","2,600 sqft",3,4,75 Thousand
48,"Sector 10, Uttara, Dhaka","1,500 sqft",3,3,24 Thousand
49,"Block A, Bashundhara R-A, Dhaka","1,860 sqft",3,4,38 Thousand
50,"Banani, Dhaka","2,200 sqft",3,4,80 Thousand
51,"Gulshan 2, Gulshan, Dhaka","3,000 sqft",4,4,1.5 Lakh
52,"Gulshan 2, Gulshan, Dhaka","3,200 sqft",4,4,1.2 Lakh
53,"Kakrail, Dhaka","1,895 sqft",3,4,40 Thousand
54,"Block G, Bashundhara R-A, Dhaka","1,400 sqft",3,3,28 Thousand
55,"Block I, Bashundhara R-A, Dhaka","1,500 sqft",3,4,25 Thousand
56,"Malibagh, Dhaka","1,360 sqft",3,3,30 Thousand
57,"Malibagh, Dhaka","1,300 sqft",3,3,30 Thousand
58,"Block J, Bashundhara R-A, Dhaka","1,000 sqft",3,2,18 Thousand
59,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka","1,000 sqft",3,2,18 Thousand
60,"Block F, Bashundhara R-A, Dhaka","1,500 sqft",3,4,30 Thousand
61,"Block F, Bashundhara R-A, Dhaka","1,800 sqft",3,4,30 Thousand
62,"Sector 5, Uttara, Dhaka","2,150 sqft",3,3,50 Thousand
63,"Block J, Bashundhara R-A, Dhaka","1,000 sqft",3,2,18 Thousand
64,"Sector 10, Uttara, Dhaka","1,500 sqft",3,3,25 Thousand
65,"Block J, Bashundhara R-A, Dhaka","2,000 sqft",3,3,26 Thousand
66,"Gulshan 1, Gulshan, Dhaka","3,680 sqft",3,4,2 Lakh
67,"Block D, Bashundhara R-A, Dhaka","1,300 sqft",3,3,60 Thousand
68,"Maghbazar, Dhaka","1,058 sqft",2,2,28 Thousand
69,"Block I Extension, Bashundhara R-A, Dhaka","2,420 sqft",3,4,45 Thousand
70,"West Kalachandpur, Kalachandpur, Dhaka",900 sqft,2,2,16 Thousand
71,"Block D, Bashundhara R-A, Dhaka","1,300 sqft",3,3,40 Thousand
72,"Sector 3, Uttara, Dhaka","1,650 sqft",3,3,35 Thousand
73,"Badda, Dhaka","1,250 sqft",3,3,25 Thousand
74,"Mohammadpur, Dhaka","2,700 sqft",3,3,60 Thousand
75,"Block K, Bashundhara R-A, Dhaka","1,200 sqft",3,3,20 Thousand
76,"East Badda, Badda, Dhaka","1,200 sqft",3,3,20 Thousand
77,"Block D, Bashundhara R-A, Dhaka","1,300 sqft",3,3,35 Thousand
78,"Dhanmondi, Dhaka","2,660 sqft",3,4,85 Thousand
79,"Kamal Sarani, South Pirerbag, Pirerbag, Mirpur, Dhaka",800 sqft,2,2,13 Thousand
80,"Block A, Niketan, Dhaka","1,570 sqft",3,3,35 Thousand
81,"Banani, Dhaka","3,245 sqft",4,4,1.1 Lakh
82,"Banani, Dhaka","3,245 sqft",4,4,1.1 Lakh
83,"Banani, Dhaka","3,245 sqft",4,4,1.1 Lakh
84,"East Goran, Goran, Khilgaon, Dhaka",800 sqft,2,2,15 Thousand
85,"Block H, Bashundhara R-A, Dhaka","1,600 sqft",3,3,26 Thousand
86,"Block C, Section 13, Mirpur, Dhaka",745 sqft,3,2,15 Thousand
87,"Block I, Bashundhara R-A, Dhaka","1,500 sqft",3,3,27 Thousand
88,"Block B, Bashundhara R-A, Dhaka","1,900 sqft",3,4,40 Thousand
89,"Block G, Bashundhara R-A, Dhaka","1,300 sqft",2,2,24.76 Thousand
90,"Gulshan 1, Gulshan, Dhaka","2,400 sqft",3,3,1 Lakh
91,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka","1,050 sqft",3,2,14 Thousand
92,"Block G, Bashundhara R-A, Dhaka","2,300 sqft",4,3,32 Thousand
93,"Sector 5, Uttara, Dhaka",950 sqft,2,3,26 Thousand
94,"Block D, Bashundhara R-A, Dhaka","2,100 sqft",3,4,40 Thousand
95,"Block G, Bashundhara R-A, Dhaka","1,600 sqft",3,3,25 Thousand
96,"Block A, Bashundhara R-A, Dhaka",600 sqft,2,1,27 Thousand
97,"New Eskaton, Eskaton, Dhaka","1,300 sqft",3,3,25 Thousand
98,"PC Culture Housing, Mohammadpur, Dhaka","1,000 sqft",3,3,24 Thousand
99,"Mirpur, Dhaka","1,180 sqft",3,3,17 Thousand
100,"Banani, Dhaka","2,550 sqft",3,3,95 Thousand
101,"Block C, Bashundhara R-A, Dhaka","1,900 sqft",3,4,35 Thousand
102,"Dhanmondi, Dhaka","2,000 sqft",3,4,55 Thousand
103,"Block H, Banasree, Dhaka","1,800 sqft",4,4,31 Thousand
104,"Block B, Bashundhara R-A, Dhaka","2,025 sqft",3,4,45 Thousand
105,"Baridhara, Dhaka","1,524 sqft",3,3,1 Lakh
106,"Block I, Bashundhara R-A, Dhaka","1,500 sqft",3,3,26 Thousand
107,"Mohammadpur, Dhaka","1,200 sqft",3,3,20 Thousand
