x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
-1,1,1,0,-1,0,1,1,0,0,-4.3362
1,-1,1,-1,1,1,1,-1,0,1,4.45691
-1,0,0,-1,1,-1,1,0,1,1,-0.888025
-1,1,-1,1,-1,-1,1,0,-1,-1,-7.71945
-1,0,1,-1,1,1,1,0,-1,-1,3.00987
1,1,0,0,1,-1,-1,0,1,0,5.00672
1,1,-1,0,-1,0,0,-1,0,0,5.65185
-1,0,0,1,1,0,0,-1,0,1,-0.0185156
1,0,0,-1,-1,-1,1,1,-1,1,2.97494
1,1,1,1,1,-1,0,1,0,-1,8.31374
1,1,1,1,-1,-1,1,1,-1,0,10.0695
1,0,-1,0,1,0,0,0,1,0,1.22378
-1,0,-1,0,1,0,0,0,0,1,0.0914473
1,-1,-1,0,-1,1,-1,1,-1,1,-2.45831
1,0,0,0,-1,-1,1,0,-1,1,2.63376
1,0,-1,0,0,0,-1,-1,-1,-1,-0.756792
-1,-1,-1,1,1,0,0,0,1,0,0.0780688
1,0,1,-1,1,1,-1,-1,0,0,1.68442
1,-1,0,0,1,1,0,-1,-1,1,0.275525
-1,1,0,0,0,0,-1,1,-1,1,-2.24549
1,0,-1,0,1,-1,1,1,1,0,0.685566
1,0,-1,0,-1,1,-1,0,-1,-1,0.5029
-1,1,1,1,1,-1,1,0,0,1,-0.792018
1,-1,1,0,1,-1,1,-1,0,-1,1.78209
-1,1,0,1,-1,-1,1,1,-1,0,-6.71609
1,0,1,0,1,-1,-1,0,0,0,3.09721
-1,-1,1,-1,1,0,0,-1,0,-1,0.136516
-1,0,0,0,0,1,0,-1,0,-1,0.10477
-1,1,1,0,1,0,0,-1,-1,1,-0.0904443
1,1,-1,1,1,-1,-1,0,0,-1,5.88028
-1,1,0,1,0,-1,1,1,1,0,-3.54611
1,1,0,-1,1,0,0,1,0,0,5.29764
-1,0,0,0,0,1,1,1,0,1,0.120469
1,0,1,-1,1,1,1,-1,-1,1,2.88417
1,1,-1,0,-1,-1,1,-1,0,-1,2.31303
-1,0,-1,-1,0,1,-1,1,-1,0,-2.7162
1,-1,-1,0,-1,1,0,1,-1,1,-0.337981
1,1,0,-1,-1,-1,-1,0,-1,0,4.44638
1,1,0,-1,-1,1,1,1,-1,-1,3.25857
1,-1,0,-1,-1,-1,0,-1,1,0,-0.109076
1,1,1,1,0,-1,1,0,-1,0,8.18531
1,-1,0,1,0,0,1,0,0,0,1.64114
-1,1,1,1,1,-1,0,0,0,1,-1.97987
1,1,1,1,1,1,0,-1,1,-1,7.4226
-1,0,-1,1,-1,0,-1,1,-1,1,-5.75047
1,1,1,1,-1,0,1,1,-1,0,6.65974
1,1,-1,-1,1,0,-1,1,1,1,3.16579
-1,1,1,0,-1,1,0,0,0,1,-5.32927
1,1,1,-1,1,0,1,-1,0,1,6.65165
-1,-1,0,-1,1,1,1,-1,1,1,2.27259
-1,0,1,-1,0,1,0,0,1,0,-1.66679
1,1,0,1,-1,1,1,0,-1,0,7.34889
-1,0,-1,1,0,1,-1,0,-1,1,-1.60353
-1,-1,-1,-1,-1,0,0,0,-1,0,-5.95223
1,0,1,-1,-1,0,0,0,1,1,3.56599
1,0,1,-1,-1,-1,-1,0,-1,1,5.78062
1,0,-1,1,1,0,0,-1,0,1,1.154
-1,1,0,0,-1,0,1,0,1,1,-4.19648
-1,-1,-1,1,-1,0,1,1,-1,-1,-3.74435
-1,0,-1,-1,1,-1,1,-1,0,0,-1.89818
-1,0,-1,-1,1,0,-1,-1,0,1,-0.782955
1,0,0,-1,-1,0,0,1,0,1,1.38761
1,-1,1,1,0,1,1,-1,-1,0,1.96097
-1,1,-1,0,-1,-1,0,-1,0,0,-7.48893
-1,0,1,1,1,0,-1,1,-1,0,-1.54114
-1,-1,0,-1,0,-1,0,-1,1,0,-4.16605
1,1,-1,0,1,-1,1,-1,1,-1,3.69074
-1,1,-1,1,0,-1,-1,-1,0,-1,-6.57853
1,1,0,0,0,1,1,1,1,-1,7.2415
-1,0,-1,1,1,-1,0,0,1,0,-0.739659
-1,-1,1,1,1,1,0,0,1,0,2.05678
1,0,-1,0,1,1,0,-1,0,-1,-0.152696
-1,-1,0,0,1,1,1,0,1,1,2.49509
-1,1,-1,-1,-1,1,-1,0,-1,0,-6.67921
-1,-1,0,1,0,0,-1,0,-1,-1,-5.16166
-1,0,0,-1,1,0,1,-1,1,0,0.988824
1,0,-1,1,-1,1,-1,-1,0,1,2.19806
1,0,0,1,0,1,1,1,1,1,3.5135
-1,-1,-1,-1,1,1,0,0,-1,-1,2.2736
-1,-1,1,0,0,-1,1,-1,0,-1,-5.5323
1,-1,0,1,0,0,1,1,1,-1,0.946295
1,0,1,-1,-1,-1,-1,1,1,0,4.56119
1,0,1,1,0,0,-1,1,-1,0,5.95365
1,-1,1,0,1,1,0,-1,-1,1,1.99897
-1,0,-1,1,1,1,0,0,-1,1,1.33063
-1,-1,-1,0,1,-1,-1,0,1,0,-1.84493
1,-1,1,-1,-1,-1,0,1,-1,1,0.760905
-1,0,0,0,0,0,1,1,-1,-1,-1.33254
-1,1,1,-1,1,-1,-1,0,0,-1,-2.95784
1,1,0,-1,-1,1,-1,1,-1,0,4.9244
1,0,-1,1,0,0,1,-1,-1,0,0.116068
-1,0,-1,1,-1,0,1,1,1,-1,-4.45374
1,-1,1,1,-1,-1,0,-1,0,-1,3.19821
-1,1,-1,0,-1,0,0,0,1,0,-6.64215
-1,-1,1,0,-1,-1,-1,-1,-1,1,-8.25207
1,0,1,-1,-1,1,1,-1,0,-1,4.57501
-1,1,-1,-1,-1,-1,0,-1,0,-1,-8.21744
1,-1,0,0,0,-1,0,1,-1,-1,0.212595
1,1,1,0,-1,1,0,-1,-1,1,6.41999
-1,-1,-1,-1,-1,1,0,-1,-1,1,-4.655
1,-1,1,1,1,1,-1,-1,0,1,2.26292
-1,0,1,-1,0,0,0,-1,0,-1,-1.66734
-1,1,1,0,-1,-1,0,-1,0,1,-7.54433
1,-1,-1,1,1,1,-1,0,0,0,-0.401912
1,1,0,-1,1,1,0,0,1,1,6.07738
-1,-1,0,0,-1,1,1,1,-1,1,-3.69835
1,-1,0,0,1,-1,1,1,1,1,-0.737784
-1,0,0,1,0,1,-1,-1,0,0,-1.94754
1,1,-1,1,-1,0,-1,-1,0,-1,5.09976
-1,-1,1,0,0,0,0,-1,1,0,-3.62989
-1,-1,1,1,-1,-1,0,1,0,0,-7.14528
-1,-1,1,0,1,1,-1,0,1,0,0.992953
1,-1,-1,0,1,0,0,-1,1,1,-2.39641
1,1,1,0,1,0,-1,0,1,1,7.18614
1,0,-1,0,0,-1,1,1,0,-1,1.63132
1,-1,-1,-1,-1,0,0,0,1,0,-3.11134
-1,-1,0,-1,0,-1,1,1,1,0,-6.49363
-1,-1,-1,1,-1,-1,1,1,-1,1,-6.13613
-1,1,-1,0,1,1,0,0,0,0,3.08485
-1,0,-1,0,0,1,0,-1,0,0,1.6126
-1,1,1,0,1,1,1,1,0,1,4.58038
-1,-1,0,0,0,0,-1,-1,-1,0,-3.70695
1,-1,1,1,1,-1,0,-1,0,1,2.17704
-1,0,-1,-1,1,-1,1,-1,0,-1,-0.404548
-1,0,0,1,-1,0,-1,0,1,-1,-6.63674
1,1,0,1,1,1,0,1,-1,0,6.82308
-1,-1,1,0,0,0,1,0,-1,1,-2.51554
-1,0,-1,1,1,1,-1,1,1,0,1.37009
-1,1,0,-1,1,-1,-1,0,0,1,-3.38529
-1,-1,1,1,0,1,0,1,1,-1,-0.909479
1,-1,1,0,1,-1,1,1,1,0,4.09847
-1,-1,-1,-1,1,-1,1,1,-1,1,-1.55277
1,-1,-1,1,0,0,-1,1,1,-1,-0.354025
1,1,-1,-1,1,-1,0,0,0,0,3.63195
1,-1,-1,-1,-1,0,0,1,-1,-1,-2.80665
-1,0,0,1,-1,-1,1,1,-1,0,-9.13702
-1,-1,0,-1,1,-1,0,1,0,-1,-3.34881
1,0,1,1,0,-1,0,1,1,0,5.8877
1,-1,0,0,0,-1,1,-1,0,0,0.334552
1,0,0,0,0,0,0,1,1,1,3.99437
-1,0,0,-1,1,0,-1,1,1,0,-0.455836
-1,1,0,-1,0,0,0,0,0,0,-4.71567
-1,0,-1,1,0,0,-1,-1,1,1,-3.83517
1,-1,0,1,0,1,1,1,-1,-1,1.63639
-1,-1,-1,-1,1,1,-1,1,-1,-1,1.13208
-1,-1,1,-1,1,-1,0,0,-1,1,-1.82739
1,-1,1,0,-1,0,1,-1,-1,1,-0.0194536
-1,-1,0,-1,0,1,-1,0,-1,-1,-1.20731
-1,1,-1,0,0,0,0,1,0,0,-4.26376
1,-1,1,-1,-1,0,1,1,-1,0,1.12934
-1,-1,0,-1,1,1,1,1,1,-1,4.00111
-1,0,0,-1,0,-1,-1,-1,0,0,-5.8964
1,0,0,-1,0,1,-1,0,-1,-1,1.17646
1,-1,-1,1,-1,1,-1,0,0,0,-2.88547
-1,1,1,0,1,1,-1,-1,0,-1,-0.868239
1,-1,0,-1,1,1,-1,1,1,-1,-1.49916
1,1,1,0,1,0,-1,0,0,1,6.42014
-1,0,1,-1,1,0,-1,0,0,0,-1.67931
-1,1,0,-1,-1,1,-1,0,1,1,-5.70824
1,0,1,1,0,0,-1,0,1,-1,6.9839
-1,0,1,-1,0,-1,1,1,1,1,-4.17978
-1,-1,-1,0,-1,1,-1,0,-1,1,-4.69002
1,0,-1,1,1,1,-1,1,0,1,1.70735
-1,0,0,0,0,-1,-1,1,-1,1,-5.97196
-1,-1,0,0,1,1,-1,-1,-1,1,1.98668
1,0,-1,0,-1,0,0,1,1,0,1.46707
1,0,1,-1,0,0,1,0,1,-1,5.17278
-1,0,1,1,0,-1,-1,1,0,-1,-5.87587
-1,1,0,1,1,-1,1,1,0,0,-1.42224
-1,1,-1,0,0,-1,-1,1,1,1,-5.76631
-1,-1,0,-1,-1,-1,-1,1,1,0,-10.4432
1,1,1,0,1,-1,1,0,-1,-1,6.70892
1,1,-1,1,1,1,-1,0,0,0,5.21096
-1,1,0,1,-1,0,1,0,0,0,-5.45207
-1,1,-1,-1,0,-1,-1,1,-1,1,-6.1236
1,0,0,1,-1,1,0,0,1,-1,3.81604
1,0,-1,1,0,0,1,0,1,0,1.00444
1,-1,0,0,-1,1,1,1,1,1,0.768531
-1,1,0,-1,1,1,1,-1,1,-1,3.17763
1,1,1,0,1,1,1,1,0,-1,6.41206
-1,0,0,0,0,0,1,-1,-1,0,-2.5414
-1,-1,1,1,1,-1,1,-1,0,-1,-0.82533
-1,-1,1,0,0,-1,-1,-1,0,1,-5.49194
-1,1,-1,-1,0,1,-1,-1,0,-1,-3.05815
1,0,-1,-1,0,0,1,0,0,-1,-1.01913
-1,-1,-1,0,0,0,-1,0,-1,0,-4.45811
1,-1,1,-1,0,0,0,-1,1,-1,-0.343181
1,-1,1,-1,0,1,-1,1,0,1,1.83129
-1,1,-1,1,1,-1,0,1,-1,1,-0.93477
-1,-1,1,1,-1,-1,-1,0,1,-1,-9.11307
1,1,1,1,0,-1,-1,-1,-1,1,6.42367
-1,-1,-1,-1,1,-1,-1,1,1,1,-2.49182
1,1,1,-1,-1,-1,1,1,0,1,6.72125
-1,0,1,0,0,0,1,-1,0,0,-3.55233
1,0,-1,1,0,0,-1,1,1,0,1.8992
-1,0,1,1,1,0,1,0,-1,1,0.878312
-1,0,0,0,1,0,0,-1,-1,0,1.05808
1,1,0,1,0,-1,1,-1,1,1,7.3828
1,-1,-1,-1,0,-1,1,0,0,0,-1.97523
1,-1,1,-1,1,-1,0,0,-1,0,0.825858
-1,0,0,1,-1,-1,-1,0,0,-1,-7.431
1,-1,-1,1,1,0,-1,0,1,1,-2.49163
1,0,0,1,0,1,0,-1,1,-1,2.91974
-1,0,-1,0,0,0,-1,-1,0,0,-3.64118
-1,-1,1,0,0,0,-1,0,0,0,-3.79833
1,-1,0,1,0,1,1,-1,1,-1,-1.2727
1,1,0,0,1,0,1,0,1,-1,3.87562
-1,1,1,1,0,-1,-1,1,-1,1,-5.47224
1,-1,1,0,0,0,-1,-1,0,1,2.31481
-1,-1,1,1,0,0,0,1,1,0,-3.3457
-1,1,0,0,1,-1,-1,0,-1,0,-5.04801
1,1,1,1,1,-1,1,0,1,0,8.46468
-1,1,1,-1,1,-1,1,1,0,0,-0.105942
-1,0,-1,-1,-1,1,1,1,-1,1,-3.25263
1,1,1,1,-1,0,0,1,-1,0,8.41227
-1,-1,1,1,1,-1,1,-1,-1,0,-0.981627
1,0,-1,0,1,-1,1,-1,0,1,1.18596
1,0,1,1,0,-1,-1,-1,0,1,5.33415
1,-1,-1,1,1,1,1,-1,-1,1,-3.22044
-1,1,1,1,-1,0,0,0,1,1,-5.64429
1,-1,-1,-1,-1,0,0,0,-1,1,-4.43824
-1,-1,1,0,-1,-1,1,-1,1,1,-4.54571
1,1,1,-1,1,-1,1,-1,1,0,5.4869
1,-1,-1,0,0,-1,0,0,1,0,-2.53244
1,1,-1,1,1,-1,1,-1,1,1,4.49643
-1,-1,0,1,-1,0,0,-1,1,1,-4.58453
1,0,0,1,0,-1,-1,1,-1,-1,2.63016
-1,-1,1,0,0,0,1,0,0,-1,-2.32583
1,1,-1,1,0,0,0,-1,1,-1,6.32572
1,-1,0,1,0,-1,-1,1,0,1,-1.03389
1,0,0,1,-1,1,1,-1,1,1,3.66527
-1,1,-1,1,0,-1,-1,0,-1,1,-7.49727
-1,1,0,0,-1,-1,-1,1,1,1,-9.31757
-1,1,-1,1,0,1,0,-1,1,1,-2.24664
-1,0,1,1,1,-1,-1,1,1,1,-2.99824
-1,1,1,1,0,0,-1,1,-1,-1,-3.06693
-1,-1,-1,0,-1,1,-1,0,0,-1,-5.06261
-1,1,0,-1,1,-1,1,-1,1,0,-1.26367
1,0,-1,-1,1,-1,0,0,1,1,1.58129
-1,1,1,-1,1,0,1,1,1,0,-0.749017
1,-1,1,1,1,1,-1,-1,0,0,2.38807
1,0,-1,0,-1,0,-1,-1,-1,0,1.20139
-1,-1,0,1,-1,-1,1,1,1,-1,-6.46493
1,0,1,0,1,1,1,-1,0,0,4.83008
-1,0,0,-1,-1,1,1,0,1,1,-1.71074
1,-1,0,1,1,-1,-1,0,0,1,0.972251
-1,0,1,0,-1,1,-1,1,0,0,-6.1393
-1,-1,1,0,1,1,-1,1,0,1,0.0983944
1,1,-1,1,-1,1,1,1,1,-1,5.46261
