climbRate,Sgz,p,q,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SaTime1,SaTime2,SaTime3,SaTime4,diffSaTime1,diffSaTime2,diffSaTime3,diffSaTime4,Sa,Goal
400,-1,-0.18,0.2,-0.1,-18,-7,-0.031,0.4,-0.0021,-0.0021,-0.0021,-0.0021,0.0,0.0,0.0,0.0,-0.0021,0.029
607,-19,-0.33,0.03,-0.7,-15,2,0.0,1.2,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,0.022
-95,-18,-0.47,-0.17,0.3,-12,31,0.008,-1.5,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.016
-330,-41,0.41,-0.03,0.1,-8,5,0.006,-0.1,-0.0005,-0.0004,-0.0004,-0.0004,-0.0002,0.0,0.0,0.0,-0.0004,0.019
236,-38,-0.35,0.08,-1.3,-21,19,0.01,-0.2,-0.0011,-0.0011,-0.0011,-0.0011,0.0,0.0,0.0,0.0,-0.0011,0.021
473,-27,0.02,-0.1,0.1,-6,11,0.004,-0.1,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,0.017
40,3,-0.12,0.05,-0.7,-9,-3,0.007,0.0,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,0.019
328,-16,0.19,-0.05,-1.0,-10,16,0.005,-0.6,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.021
330,-40,0.06,0.02,1.0,-5,-3,-0.012,0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.019
-7,-1,0.1,-0.02,-2.0,-10,5,0.017,0.0,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,0.019
460,-10,0.3,0.19,1.5,-11,5,0.006,-4.9,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.024
-415,9,0.05,0.2,-0.3,-6,-22,0.004,-0.8,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,0.017
-298,-20,-0.37,-0.06,0.9,-12,10,-0.016,0.3,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,0.016
-246,1,-0.02,0.18,-0.3,-6,-16,0.004,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.031
