P1,P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4,price
1472.0,0.4877717,0.0033967,0.1630435,0.0954907,0.9252717,0.0,0.7816327,0.0,0.0061224,0.1566265,0.0020408,0.9836735,0.2478485,0.3090909,0.8148148,34700.0
899.0,0.4894327,0.0533927,0.1612903,0.087146,0.8820912,0.0,0.7638889,0.0,0.0416667,0.0769231,0.0444444,0.9944444,0.0897436,0.15625,0.4375,88500.0
3182.0,0.4632307,0.0053426,0.2102451,0.1639344,0.8422376,0.022313,0.6852986,0.0015314,0.0137825,0.1475196,0.0038285,0.9885145,0.2859008,0.1072664,0.7804878,17000.0
334.0,0.5,0.0359281,0.0688623,0.0538922,0.8772455,0.0,0.7457627,0.0,0.0847458,0.056,0.0254237,0.7881356,0.32,0.1666667,0.0,19500.0
68.0,0.4705882,0.0,0.2794118,0.1666667,0.8382353,0.0,0.6969697,0.0,0.030303,0.1081081,0.0,1.0,0.1891892,0.0,0.0,14999.0
450.0,0.4911111,0.0044444,0.1444444,0.1266376,0.8955556,0.0,0.7321429,0.0,0.0119048,0.1428571,0.0,0.9880952,0.3622449,0.18,0.5,14999.0
374.0,0.4973262,0.0,0.3262032,0.1968085,0.8342246,0.0,0.6529412,0.0058824,0.0117647,0.1099476,0.0,0.9823529,0.2408377,0.1111111,0.0,17800.0
1678.0,0.4606675,0.0,0.306913,0.2430939,0.7687723,0.0488677,0.6103723,0.0,0.0132979,0.1425314,0.0,0.9986702,0.3534778,0.0468085,0.7272727,20600.0
579.0,0.5146805,0.0,0.1416235,0.0960854,0.8911917,0.0,0.7255814,0.0,0.0186047,0.1634241,0.0,1.0,0.2723735,0.1111111,0.6666667,34800.0
16040.0,0.4772444,0.1869077,0.157419,0.1113894,0.8319825,0.0,0.6676678,0.0055564,0.0551134,0.1183636,0.1567803,0.9761225,0.3671389,0.0956091,0.5443038,34500.0
485.0,0.4659794,0.0,0.185567,0.1274131,0.8783505,0.0,0.7239583,0.0052083,0.0260417,0.1111111,0.0,0.9895833,0.2916667,0.0645161,0.5,33400.0
232.0,0.5086207,0.0086207,0.0646552,0.0350877,0.8793103,0.0,0.7613636,0.0113636,0.0568182,0.0833333,0.0,0.9545455,0.2395833,0.0714286,0.0,52500.0
535.0,0.4897196,0.0074766,0.128972,0.0805861,0.917757,0.0,0.8166667,0.0111111,0.0388889,0.0322581,0.0055556,0.9944444,0.1397849,0.3170732,0.0,33600.0
167.0,0.4670659,0.0,0.1317365,0.1011236,0.8862275,0.0,0.7288136,0.0,0.0508475,0.1323529,0.0,1.0,0.2058824,0.0,1.0,16500.0
1144.0,0.4571678,0.0017483,0.3129371,0.2222222,0.7701049,0.0603147,0.6183369,0.0021322,0.0170576,0.0657371,0.0021322,0.989339,0.2669323,0.08,0.6666667,18300.0
18400.0,0.4831522,0.0032065,0.145,0.1073607,0.8331522,0.0357065,0.6998359,0.0056691,0.041474,0.0600196,0.0035805,0.8584216,0.40359,0.1233411,0.4495413,36900.0
28284.0,0.4693466,0.0043134,0.2462169,0.1810913,0.8236459,0.055862,0.7185412,0.001392,0.0267261,0.0249729,0.0021344,0.9785635,0.2800398,0.0453506,0.2195122,112400.0
260.0,0.5192308,0.0,0.1846154,0.152,0.8423077,0.0,0.6415094,0.0,0.0283019,0.1653543,0.0,1.0,0.2992126,0.2,0.6,18500.0
3842.0,0.4828214,0.0005206,0.2196773,0.1665828,0.8917231,0.0036439,0.7524752,0.0019802,0.0125413,0.0750916,0.0013201,0.9986799,0.3003663,0.1094527,0.8214286,20900.0
