P3,P6p4,P11p3,P16p2,P19p2,H5p2,H15p1,H40p4,price
490.0,0.0067935,0.4096467,0.7816327,0.0020408,0.2967033,6.4252874,0.8148148,34700.0
360.0,0.0066741,0.5750834,0.7638889,0.0444444,0.5333333,7.5853659,0.4375,88500.0
1306.0,0.0028284,0.4638592,0.6852986,0.0038285,0.1814159,5.8456244,0.7804878,17000.0
118.0,0.0,0.5149701,0.7457627,0.0254237,0.0,5.5731707,0.0,19500.0
33.0,0.0,0.4705882,0.6969697,0.0,0.0,5.8461538,0.0,14999.0
168.0,0.0022222,0.4422222,0.7321429,0.0,0.2142857,5.3983051,0.5,14999.0
170.0,0.0026738,0.3983957,0.6529412,0.0,0.0,5.8283582,0.0,17800.0
752.0,0.0047676,0.4308701,0.6103723,0.0,0.088,6.2088975,0.7272727,20600.0
215.0,0.0017271,0.4818653,0.7255814,0.0,0.0714286,6.0058824,0.6666667,34800.0
6659.0,0.0274314,0.4714464,0.6676678,0.1567803,0.1767338,5.8219035,0.5443038,34500.0
192.0,0.0,0.4742268,0.7239583,0.0,0.0833333,5.7701863,0.5,33400.0
88.0,0.0,0.5732759,0.7613636,0.0,0.0,5.7166667,0.0,52500.0
180.0,0.0018692,0.4859813,0.8166667,0.0055556,0.5,6.4316547,0.0,33600.0
59.0,0.011976,0.5149701,0.7288136,0.0,0.1111111,5.8928571,1.0,16500.0
469.0,0.0008741,0.4020979,0.6183369,0.0021322,0.2727273,6.1075581,0.6666667,18300.0
6703.0,0.0122283,0.4403261,0.6998359,0.0035805,0.2546729,5.9338324,0.4495413,36900.0
10776.0,0.0702871,0.5117381,0.7185412,0.0021344,0.2971014,5.8681305,0.2195122,112400.0
106.0,0.0,0.4807692,0.6415094,0.0,0.2380952,5.8255814,0.6,18500.0
1515.0,0.0023425,0.4895888,0.7524752,0.0013201,0.2276423,5.5989346,0.8214286,20900.0
953.0,0.0044612,0.4450927,0.7701994,0.0020986,0.0862069,5.3342428,0.3,15100.0
591.0,0.0019802,0.5155116,0.7614213,0.0,0.137931,6.0322581,0.0,31000.0
249.0,0.0030769,0.4769231,0.7188755,0.0040161,0.125,5.3411765,0.75,14999.0
51.0,0.0,0.5234899,0.8431373,0.0,0.0,6.1935484,0.0,37100.0
979.0,0.0003754,0.4936186,0.7099081,0.0010215,0.1,6.2352941,0.5,59100.0
6610.0,0.0684649,0.5702795,0.825416,0.0111952,0.5520505,7.1697805,0.16,280900.0
374.0,0.0028436,0.5469194,0.8395722,0.0106952,0.0904255,6.7949438,0.4705882,68900.0
183.0,0.0,0.44,0.9016393,0.0,0.0588235,3.8560606,0.3333333,14999.0
49.0,0.0,0.4692308,0.7346939,0.2653061,0.0,5.9259259,0.0,17800.0
122.0,0.0,0.4455128,0.7131148,0.0,0.6363636,6.1747573,0.5714286,17900.0
2500.0,0.0036566,0.4757935,0.6792,0.0128,0.0806452,6.6430976,0.6,110800.0
2503.0,0.0057668,0.5534601,0.7015581,0.0031962,0.1717172,6.2371303,0.5294118,65900.0
