x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
-4.33977,-14.5632,brown,-7.28162,0.405501,-25.104,yes,normal,261.655,1096,-29.4437
-2.09808,-14.5848,red,-7.29239,0.117108,-31.5603,yes,normal,154.233,1176,-33.6583
-3.18263,-10.1225,red,-1.59132,0.964261,-7.34016,no,large,351.602,1179,-1.59132
3.54194,-11.4706,red,-5.73529,-0.886434,-18.9366,yes,normal,445.995,1045,-15.3947
4.59249,-11.6108,red,-5.8054,-0.665914,-21.72,no,normal,495.822,1021,-17.1275
-1.76967,-14.3805,brown,-7.19024,0.565279,-31.6922,no,large,216.306,1132,-0.884837
0.0451672,-10.7835,brown,-5.39174,0.0572604,-20.7475,no,normal,407.435,1163,-20.7023
0.614172,-11.9902,brown,0.307086,0.904191,1.08309,no,large,313.19,1025,0.307086
4.68943,-12.9359,brown,2.34471,0.491032,2.1772,no,normal,282.206,1197,2.34471
2.59401,-14.7775,brown,-7.38875,0.461119,-1.5323,no,normal,162.19,1061,1.06172
0.0168071,-13.2572,brown,0.00840356,0.828098,0.00227442,no,large,423.969,1137,0.00840356
-4.53232,-10.6637,brown,-2.26616,0.294475,-6.7458,no,normal,185.969,1069,-11.2781
-2.48402,-13.0792,brown,-1.24201,-0.335095,-5.64128,no,normal,103.506,1086,-8.1253
3.58186,-11.4723,brown,1.79093,0.0990521,5.37474,yes,normal,358.05,1048,1.0
4.75492,-14.7633,red,2.37746,-0.0459434,5.8136,no,normal,467.99,1100,2.37746
-0.822616,-11.0588,brown,-0.411308,0.960553,-1.84714,no,large,327.837,1111,-0.411308
3.69934,-12.2342,brown,-6.11708,0.824104,-0.0398461,no,large,453.032,1021,1.84967
0.139312,-10.0994,red,-5.0497,0.845897,-18.218,no,large,299.998,1158,0.0696559
0.853435,-11.5179,brown,-5.75896,0.484144,-22.6082,no,normal,234.84,1052,-21.7548
-2.22575,-10.6186,red,-5.3093,0.875507,-18.5994,no,large,279.285,1109,-1.11287
-0.848877,-14.5948,brown,-7.29738,0.462778,-10.965,yes,normal,101.627,1149,-11.8139
1.39845,-12.7278,green,-6.36388,-0.82096,-21.9493,no,normal,251.453,1104,-20.5508
-1.26349,-14.4243,brown,-7.21217,-0.630168,-13.0898,no,normal,299.613,1046,-14.3533
-4.8415,-11.3486,brown,-2.42075,0.74428,-1.61577,no,large,489.63,1169,-2.42075
2.60831,-10.1481,brown,1.30415,0.26301,2.27136,no,normal,404.977,1060,1.30415
2.52785,-10.3261,brown,-5.16304,-0.573623,-13.9437,yes,normal,396.641,1126,-11.4159
-4.17446,-12.2625,brown,-6.13126,-0.211903,-22.2543,no,normal,447.468,1011,-26.4287
-2.49063,-10.2732,red,-5.13662,-0.0577129,-20.4045,no,normal,163.742,1109,-22.8951
3.49633,-14.9727,brown,1.74816,0.910658,7.26747,no,large,136.899,1013,1.74816
-1.95148,-12.6374,brown,-6.31871,0.486182,-17.6699,no,normal,350.403,1080,-19.6214
-0.93556,-11.9497,brown,-5.97485,-0.0695054,-27.125,no,normal,194.903,1040,-28.0606
-0.331374,-14.3192,brown,-0.165687,-0.139678,-0.321457,no,normal,300.681,1091,-0.652831
0.655999,-12.2732,brown,0.327999,-0.158499,1.05987,no,normal,183.176,1025,0.327999
3.98618,-12.9367,brown,-6.46836,-0.106839,-25.3717,no,normal,310.336,1027,-21.3855
-0.174544,-14.4181,brown,-7.20907,0.668732,-28.5552,yes,large,171.376,1102,-0.0872722
0.778891,-12.3913,brown,0.389445,0.756168,0.516726,no,large,123.641,1174,0.389445
-0.612891,-14.1539,brown,-7.07693,-0.194473,-33.8514,yes,normal,278.567,1191,-34.4643
3.14543,-13.4133,green,1.57272,-0.489725,7.10781,yes,normal,135.862,1115,1.0
3.74127,-13.1905,brown,-6.59523,0.672142,-22.3269,no,large,258.264,1115,1.87063
-0.754015,-10.6499,brown,-5.32494,-0.863669,-16.479,no,normal,222.137,1006,-17.233
2.12612,-14.0899,brown,1.06306,-0.679511,5.25456,no,normal,153.896,1149,1.06306
2.24774,-12.3118,red,-6.15592,0.269094,-24.8998,no,normal,306.131,1169,-22.652
-3.55757,-11.4101,brown,-5.70506,0.638664,-14.3854,no,large,183.834,1159,-1.77879
4.75571,-12.6548,green,2.37786,0.343471,11.3053,no,normal,314.094,1161,2.37786
-3.79803,-11.0396,brown,-5.51978,0.523328,-13.3359,yes,large,303.92,1134,-1.89901
-3.49644,-14.7746,brown,-7.3873,-0.745757,-17.9099,no,normal,318.668,1193,-21.4064
4.71622,-12.3441,brown,2.35811,-0.467754,8.3619,yes,normal,240.886,1024,1.0
0.29998,-14.7451,brown,-7.37256,0.545956,-6.57638,yes,large,418.229,1073,0.14999
0.367432,-12.7632,brown,-6.3816,0.671822,-16.638,no,large,432.334,1020,0.183716
-2.46384,-12.247,brown,-1.23192,0.639923,-2.85251,yes,large,266.579,1122,-1.23192
2.43013,-11.4951,red,-5.74756,0.270365,-16.7666,yes,normal,300.918,1021,-14.3365
-3.2644,-11.348,red,-5.67398,-0.179407,-0.81804,yes,normal,330.126,1062,-4.08244
3.50744,-14.3903,brown,1.75372,0.915383,4.08196,no,large,382.541,1091,1.75372
-4.49251,-14.4927,brown,-2.24625,-0.702074,-5.72437,no,normal,422.377,1102,-10.2169
1.04479,-12.8279,green,-6.41396,-0.630561,-13.4108,no,normal,361.365,1069,-12.366
1.93265,-14.7348,green,-7.36742,0.7538,-4.89992,no,large,391.098,1066,0.966324
3.29782,-13.5286,red,1.64891,-0.887778,2.65955,yes,normal,188.179,1150,1.0
-4.32051,-14.2085,red,-7.10427,-0.0524786,-26.7223,no,normal,411.834,1061,-31.0428
0.680186,-12.2579,brown,-6.12896,0.823074,-7.34676,no,large,442.602,1031,0.340093
0.40644,-11.0918,red,0.20322,-0.459127,0.208259,yes,normal,483.864,1015,0.20322
1.77457,-11.0057,green,-5.50285,-0.670311,-24.5078,no,normal,225.953,1037,-22.7333
1.39873,-12.6397,green,-6.31987,0.286734,-15.7183,no,normal,364.227,1162,-14.3196
-3.20255,-13.5524,brown,-6.7762,-0.81644,-12.8169,no,normal,223.993,1060,-16.0195
-4.59568,-12.914,brown,-2.29784,0.158231,-9.62196,no,normal,435.945,1092,-14.2176
-3.60517,-13.1544,brown,-1.80259,-0.591473,-5.27194,no,normal,247.158,1187,-8.87711
-2.69801,-14.2426,brown,-1.349,-0.679617,-0.130311,no,normal,411.426,1187,-2.82832
-0.242366,-10.6569,brown,-5.32847,-0.192943,-15.5378,no,normal,187.585,1012,-15.7802
3.55705,-13.8308,green,1.77852,0.609615,1.44715,no,large,373.118,1160,1.77852
-4.76779,-12.2641,brown,-2.3839,-0.227577,-7.05389,no,normal,436.521,1068,-11.8217
1.4348,-13.0602,brown,-6.53008,-0.809164,-18.2368,yes,normal,438.041,1140,-16.802
-2.18295,-10.4465,brown,-1.09147,0.61477,-4.66866,no,large,131.181,1035,-1.09147
0.811862,-11.5974,red,-5.7987,0.42932,-24.1351,no,normal,439.896,1008,-23.3232
-0.526262,-13.7055,brown,-0.263131,-0.578164,-0.682655,no,normal,473.943,1176,-1.20892
-1.9954,-11.0355,red,-5.51777,-0.575366,-27.1369,yes,normal,258.723,1033,-29.1323
4.25104,-14.4072,brown,2.12552,0.147344,9.34641,no,normal,251.156,1156,2.12552
0.132009,-14.3383,brown,-7.16914,-0.340404,-10.7553,no,normal,192.335,1013,-10.6233
